scenario,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported
augmented-downtown,vehev7,no-preemption,2094,6569.73,37880.48,7218.00,648.2700000000004,,,False
augmented-downtown,vehev3,rfid,6479,10786.57,74467.44,11448.00,661.4300000000003,1.0676137085282902,6.333162265356817,False
augmented-downtown,vehev7,tpn4,2094,5663.42,35169.67,6313.00,649.5799999999999,1.1600287458814638,13.79523968260491,False
augmented-downtown,vehev7,kapusta2,17651,13112.20,43677.37,13762.00,649.7999999999993,-1.675509213115592,-67.5509213115592,False
augmented-downtown,vehev7,kapusta2,32668,8037.20,36237.26,8686.00,648.8000000000002,-1.0336596583104838,-3.3659658310483787,False
augmented-downtown,vehev7,no-preemption,10105,6937.08,45185.80,7585.00,647.9200000000001,,,False
augmented-downtown,vehev3,kapusta2,31737,12189.94,89015.52,12852.00,662.0599999999995,1.0835656287069502,7.712096664294476,False
augmented-downtown,vehev1,rfid,32668,33963.23,74851.70,34842.00,878.7699999999968,-1.1778061527929837,-17.780615279298374,False
augmented-downtown,vehev7,fuzzy,30366,7793.41,44780.08,8255.00,461.59000000000015,-1.1159668077124099,-11.596680771240987,False
augmented-downtown,vehev7,no-preemption,32668,7775.48,35868.32,8425.00,649.5200000000004,,,False
augmented-downtown,vehev1,tpn3,12811,27052.40,65715.28,27930.00,877.5999999999985,1.0365413050228445,3.525311036402856,False
augmented-downtown,vehev2,rfid,31737,952.44,11502.35,1448.00,495.55999999999995,1.331978917307127,24.92373662927725,False
augmented-downtown,vehev3,no-preemption,21907,12162.21,78459.10,12824.00,661.7900000000009,,,False
augmented-downtown,vehev7,no-preemption,6479,11075.42,42027.73,11725.00,649.5799999999999,,,False
