scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported
sp,1,veh11651,petri_lc!False,6479,118.84,,769.00,650.16,8.623274991585324,88.40347778569267,False
sp,1,veh11651,kapusta2,20276,104.87,,820.00,715.13,9.734528463812339,89.7272887565386,False
sp,1,veh11651,djahel_wc!start_el!medium,20156,711.54,,1465.00,753.46,1.507012957809821,33.643569896484195,False
sp,1,veh11651,rfid_dd!1000_nc!2,14368,452.12,,1069.00,616.88,2.522405556047067,60.35530457809774,False
sp,1,veh11651,rfid_dd!1000_nc!5,7324,415.97,,1086.00,670.03,2.414597206529317,58.58522500995619,False
sp,1,veh11651,rfid_dd!1000_nc!2,27548,189.37,,1066.00,876.63,6.927866082272799,85.56554084440481,False
sp,1,veh11651,djahel_wc!start_el!low,6325,714.87,,1372.00,657.13,1.4246366472225718,29.80666319727423,False
sp,1,veh11651,rfid_dd!1000_nc!5,12837,470.95,,1178.00,707.05,2.3643698906465653,57.705433318365515,False
sp,1,veh11651,petri_lc!False,4771,126.35,,804.00,677.65,7.906450336367234,87.35209914112396,False
sp,1,veh11651,no-preemption,18736,1018.14,,1676.00,657.86,,,False
sp,1,veh11651,djahel_wc!start_el!medium,6325,714.87,,1372.00,657.13,1.4246366472225718,29.80666319727423,False
sp,1,veh11651,rfid_dd!250_nc!2,20395,557.33,,1298.00,740.67,1.811727342866883,44.804056529963454,False
sp,1,veh11651,rfid_dd!1000_nc!2,30616,306.67,,1045.00,738.3299999999999,3.298822838882186,69.68615627934562,False
sp,1,veh11651,allgreen,13518,118.92,,746.00,627.08,8.72132526067945,88.53385271033804,False
sp,1,veh11651,rfid_dd!250_nc!2,3229,857.32,,1665.00,807.68,1.2103648579293613,17.380284676245815,False
sp,1,veh11651,no-preemption,14368,1140.43,,1756.00,615.5699999999999,,,False
sp,1,veh11651,petri_lc!False,3229,101.98,,910.00,808.02,10.175230437340655,90.17221274586333,False
sp,1,veh11651,rfid_dd!1000_nc!5,7006,400.90,,1047.00,646.1,2.5514342728860067,60.8063585792916,False
